Index: 85131, Data: {'LIQUIDITY_POOL_ADDRESS': 'EgCwqWCXVzETY2zEUffn7ZaCbyBtsHCzfYfZBBd5igkn', 'MINT': '5ovWbyonBsts6kWsS49v5H3aDL61u8ahGGCSiWJhdoLp', 'TOTAL_ADDED_LIQUIDITY': 3418771220095670.0, 'TOTAL_REMOVED_LIQUIDITY': 1768401799313.26, 'NUM_LIQUIDITY_ADDS': 8.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 1933.254773561, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1706392536, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706297205, 'LAST_SWAP_TIMESTAMP_ts': 1712101672, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 21.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 27.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 2.0, 'LAST_SWAP_TIMESTAMP_weekday': 1.0, 'LAST_SWAP_TIMESTAMP_month': 4.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.07966434566985092, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 55636, Data: {'LIQUIDITY_POOL_ADDRESS': 'BAxJwA7FMcHjmZVwFp2a1sGqKu6b8npJZovD4rEM4TkK', 'MINT': '8exuywH7jW6AXBAb9f878uddLpPHjJFtNTxjZCjW4L3J', 'TOTAL_ADDED_LIQUIDITY': 34468110069736.2, 'TOTAL_REMOVED_LIQUIDITY': 321148468.190506, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 107327.648996568, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1718043620, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1715647495, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 10.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 14.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 5.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.07660059824428811, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 51323, Data: {'LIQUIDITY_POOL_ADDRESS': '4QzJqjUhedncg4m9keRmz7dAjfb9Et8VfBcMEew5sA1U', 'MINT': 'EpBksLwPFdf7SLcQ2oNh1HsNWfMudrTVvSbpAdMRXaUh', 'TOTAL_ADDED_LIQUIDITY': 4600552538943.01, 'TOTAL_REMOVED_LIQUIDITY': 870984.891, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 1.0, 'ADD_TO_REMOVE_RATIO': 5282011.87699249, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1727253648, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1716744101, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 8.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 25.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 9.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 17.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 5.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.07492886609192029, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 47606, Data: {'LIQUIDITY_POOL_ADDRESS': 'Fptmpk3UW6KcVTFFpoWv53eiji8dn2jVaZDNhHEhxCYy', 'MINT': '4XgoqVmM4D3ts697pghaCZcK2JvsdA8JYCxc4aerZF2Y', 'TOTAL_ADDED_LIQUIDITY': 68593822519.1516, 'TOTAL_REMOVED_LIQUIDITY': 2524.208505, 'NUM_LIQUIDITY_ADDS': 6.0, 'NUM_LIQUIDITY_REMOVES': 5.0, 'ADD_TO_REMOVE_RATIO': 27174388.4799055, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1728870578, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1717552481, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 14.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 6.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.07217761559048363, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 47913, Data: {'LIQUIDITY_POOL_ADDRESS': '8bCQiauSvZjB2FSL83pVHMZrgfFbYY5ff7cdMUpz4FVq', 'MINT': '5adgZL4TvU4GnaJ76g91up8AaLj7cqu3CvYyVXmSNPdb', 'TOTAL_ADDED_LIQUIDITY': 66022910039.2474, 'TOTAL_REMOVED_LIQUIDITY': 3229.443534, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 1.0, 'ADD_TO_REMOVE_RATIO': 20444051.5352412, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1728871018, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1717480275, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 14.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 6.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.07016264133824945, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 91575, Data: {'LIQUIDITY_POOL_ADDRESS': '137Wy4xiPi6j7ssUaowH2DVg972Juf4btmg6p8LfgsnH', 'MINT': '23h3L2UxzdsmWntfAGJQNcFZ7iQb5sgzMR2JbaoduCmc', 'TOTAL_ADDED_LIQUIDITY': 70907372981422.9, 'TOTAL_REMOVED_LIQUIDITY': 67307125634181.2, 'NUM_LIQUIDITY_ADDS': 10.0, 'NUM_LIQUIDITY_REMOVES': 40.0, 'ADD_TO_REMOVE_RATIO': 1.053489839, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1705254323, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704467868, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 17.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 14.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 15.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.06829463565178562, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 82756, Data: {'LIQUIDITY_POOL_ADDRESS': '95rearCVnMKa7hfBC8R6NLaN5Kw1xxBSruG1eX33VsA4', 'MINT': '7vNuRmaESRCKNGaxb5kHhszDxTSdmyEhNR6n2nEehKyF', 'TOTAL_ADDED_LIQUIDITY': 999999999999.997, 'TOTAL_REMOVED_LIQUIDITY': 999999999999.997, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1706922659, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706920217, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.06606877508415843, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 11961, Data: {'LIQUIDITY_POOL_ADDRESS': '5no8Tr7WBcXjTEwtLa6MVuzFvL6Liv1rnki3AFhFv1om', 'MINT': '8RweLrRJ7kQ1Kk6Uqd3fs8Hees295p3CYa7yiycGH8Lw', 'TOTAL_ADDED_LIQUIDITY': 499999999999997.0, 'TOTAL_REMOVED_LIQUIDITY': 499999999999997.0, 'NUM_LIQUIDITY_ADDS': 1.0, 'NUM_LIQUIDITY_REMOVES': 1.0, 'ADD_TO_REMOVE_RATIO': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1727392728, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1727391322, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 9.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 22.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 9.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.06507556812901272, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 84726, Data: {'LIQUIDITY_POOL_ADDRESS': 'BmHuXoh9xG1FxK3GFqDAaamv5vnvXpEHzS1odccpMgGL', 'MINT': '52QaBoDMTKTZBoGT7jZgpjpHJq5v4r1mEPH641q8V1Zg', 'TOTAL_ADDED_LIQUIDITY': 129871219592.476, 'TOTAL_REMOVED_LIQUIDITY': 129871219592.476, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1706401947, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706401087, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.06486462385637148, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 37833, Data: {'LIQUIDITY_POOL_ADDRESS': '8Vs1ELHSkw6kt82u6seXQs3fASWbmoiTwFemgKoF9Z7q', 'MINT': '9TMAe89RXQTZ41QPWvxyfnrfyChuvDvC1eCaHhsZz7gz', 'TOTAL_ADDED_LIQUIDITY': 96000006512.3129, 'TOTAL_REMOVED_LIQUIDITY': 923.965808, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 103899955.692206, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1720108125, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1719960290, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 15.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 7.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 22.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 7.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.06267211080358148, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 52327, Data: {'LIQUIDITY_POOL_ADDRESS': 'CDnCxv3CwcbYEqDsFK1nkgdiCFEiRkhingohX7tyba2N', 'MINT': 'H31MfvGCN4H8jH94pCyWEJThKLJ68CPugcppPQCHnDS2', 'TOTAL_ADDED_LIQUIDITY': 8000099326.02902, 'TOTAL_REMOVED_LIQUIDITY': 19.874268, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 402535546.266611, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1716804531, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1716484441, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 10.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 27.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 17.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 23.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 5.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.06214714350525441, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
