Index: 60, Data: {'LIQUIDITY_POOL_ADDRESS': '2WEDnL4zAowBNsegwnTqcfzWGTqSLsBauyGaehShMfXA', 'MINT': 'DoDPzZckJ4dhFHi136xM1tndJnUpDh5Lk5S99X3e8NgD', 'TOTAL_ADDED_LIQUIDITY': 220362015457.868, 'TOTAL_REMOVED_LIQUIDITY': 236425684578.047, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 20.0, 'ADD_TO_REMOVE_RATIO': 0.932056159, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1721494483, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1710439910, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 16.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 20.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 7.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 14.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0411058932815766, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 61, Data: {'LIQUIDITY_POOL_ADDRESS': '4d7Rznpo89vWZEKtNrh8ZetjLm2a37jditQ2GDWVuTDa', 'MINT': 'CQ6bT2L7QN2JaH4xn4saHuWTeDw5PwwfVP1ALzTVwMwb', 'TOTAL_ADDED_LIQUIDITY': 196860186800.916, 'TOTAL_REMOVED_LIQUIDITY': 46429.401232, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 1.0, 'ADD_TO_REMOVE_RATIO': 4239989.78184617, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1728584870, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1719740872, 'LAST_SWAP_TIMESTAMP_ts': 1727652248, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 10.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 9.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 30.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 6.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 29.0, 'LAST_SWAP_TIMESTAMP_weekday': 6.0, 'LAST_SWAP_TIMESTAMP_month': 9.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.041100259850888, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 62, Data: {'LIQUIDITY_POOL_ADDRESS': 'A8qgpAXmoEmShRbmDbv5uCutkEVeB9aiTUpsDLegiqQT', 'MINT': 'nKYp2kyU8bBd8BMj9qbUkRpGsUd7ebnpmHP2bNbQSeZ', 'TOTAL_ADDED_LIQUIDITY': 10914205516.1006, 'TOTAL_REMOVED_LIQUIDITY': 10947880013.5379, 'NUM_LIQUIDITY_ADDS': 10.0, 'NUM_LIQUIDITY_REMOVES': 226.0, 'ADD_TO_REMOVE_RATIO': 0.9969241079, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1708286235, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1705593082, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 15.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 18.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0404650665190166, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE}  
Index: 63, Data: {'LIQUIDITY_POOL_ADDRESS': 'BrMYU1XWCqMAtBURD8yp3d9gni3uHxomoj5JG9LWr7Mj', 'MINT': 'DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263', 'TOTAL_ADDED_LIQUIDITY': 1157197180210.9, 'TOTAL_REMOVED_LIQUIDITY': 981872742294.657, 'NUM_LIQUIDITY_ADDS': 38851.0, 'NUM_LIQUIDITY_REMOVES': 22393.0, 'ADD_TO_REMOVE_RATIO': 1.178561264, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1730321576, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706563268, 'LAST_SWAP_TIMESTAMP_ts': 1730419136, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 20.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 30.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 21.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 29.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 31.0, 'LAST_SWAP_TIMESTAMP_weekday': 3.0, 'LAST_SWAP_TIMESTAMP_month': 10.0, 'INACTIVITY_STATUS_Active': True, 'INACTIVITY_STATUS_Inactive': False, 'anomaly_score_isolation_forest': -0.0399016012926933, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': FALSE} 
Index: 64, Data: {'LIQUIDITY_POOL_ADDRESS': 'GF3fY3C5on1z59SBy2fKZ8rwizczjNpEqz7r8TWETX6C', 'MINT': 'EbsemRUkidn1b2VZiEnepSEYT9dH87Fm1dALpuw3LaCF', 'TOTAL_ADDED_LIQUIDITY': 14999999999.9995, 'TOTAL_REMOVED_LIQUIDITY': 14958947281.2714, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 1.002744359, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1710980338, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1710651668, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 21.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 17.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0395803276707386, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 65, Data: {'LIQUIDITY_POOL_ADDRESS': 'HgFEbzcXnbvpaXYx1NA5VxcRJRAqbhdYyCwkLpXX1S6u', 'MINT': 'DiyM7iuHAdNbHSsmP36NSDaKec92quWdw2KAoH2CxziU', 'TOTAL_ADDED_LIQUIDITY': 21210098728440.2, 'TOTAL_REMOVED_LIQUIDITY': 124546167592736.0, 'NUM_LIQUIDITY_ADDS': 38.0, 'NUM_LIQUIDITY_REMOVES': 10.0, 'ADD_TO_REMOVE_RATIO': 0.1702990878, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1705295107, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704535375, 'LAST_SWAP_TIMESTAMP_ts': 1710570971, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 15.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 6.0, 'LAST_SWAP_TIMESTAMP_day': 16.0, 'LAST_SWAP_TIMESTAMP_weekday': 5.0, 'LAST_SWAP_TIMESTAMP_month': 3.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0388554755726248, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 66, Data: {'LIQUIDITY_POOL_ADDRESS': 'GqZDNt3WMwH6aQpecZ6wjnhpVJ6ziopx9MGPU1KXWgZN', 'MINT': '22DU1QWos1eRxVaAskrsYeWkLY5yzJ47AtuoWmcFMiaJ', 'TOTAL_ADDED_LIQUIDITY': 55893199181967.2, 'TOTAL_REMOVED_LIQUIDITY': 369276603444049.0, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 0.1513586256, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1708369766, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704855500, 'LAST_SWAP_TIMESTAMP_ts': 1711487487, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 19.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 21.0, 'LAST_SWAP_TIMESTAMP_day': 26.0, 'LAST_SWAP_TIMESTAMP_weekday': 1.0, 'LAST_SWAP_TIMESTAMP_month': 3.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0382491511632934, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 67, Data: {'LIQUIDITY_POOL_ADDRESS': '2NbYW9NUVufMHKnuCM1mpmeTysHEGAcHq3EDL85kqi8w', 'MINT': '5ovWbyonBsts6kWsS49v5H3aDL61u8ahGGCSiWJhdoLp', 'TOTAL_ADDED_LIQUIDITY': 3607843703705510.5, 'TOTAL_REMOVED_LIQUIDITY': 1257636386632490.0, 'NUM_LIQUIDITY_ADDS': 6.0, 'NUM_LIQUIDITY_REMOVES': 8.0, 'ADD_TO_REMOVE_RATIO': 2.868749459, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1706296585, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706293891, 'LAST_SWAP_TIMESTAMP_ts': 1712101672, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 2.0, 'LAST_SWAP_TIMESTAMP_weekday': 1.0, 'LAST_SWAP_TIMESTAMP_month': 4.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0382222544083514, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 68, Data: {'LIQUIDITY_POOL_ADDRESS': '4MHsWgAsBxAzaNcR6YPoFRQdm4ZviVVMsRHB47FNo446', 'MINT': '7YdqoseKRFg1inRQuRswcNJhzvxkCMY7jao9CxFokj2t', 'TOTAL_ADDED_LIQUIDITY': 480000505944.755, 'TOTAL_REMOVED_LIQUIDITY': 448313410443.659, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 1.070680677, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1709059206, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1709056827, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 27.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 27.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0370950384129865, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 69, Data: {'LIQUIDITY_POOL_ADDRESS': '3mAJu8yPcUWwyETfX8uaxSgw2nDWKhtpwBPu1SauE8E6', 'MINT': 'HveZ9Dp3tU5h85sQPUv4yXqxfjvjxFuTZbBd9bXDNSEu', 'TOTAL_ADDED_LIQUIDITY': 15999999999.9999, 'TOTAL_REMOVED_LIQUIDITY': 15844721727.0746, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 6.0, 'ADD_TO_REMOVE_RATIO': 1.0098, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1710041094, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1710031500, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 10.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0366295045762234, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 70, Data: {'LIQUIDITY_POOL_ADDRESS': '46ouBTFBSxCJoiuLMJ4uawdUaPi7Bi1xfVrajF9FERzZ', 'MINT': '8HZpZZQx2grB9y9U1zjwhyASmhn2FY4N1hoGnrToDMML', 'TOTAL_ADDED_LIQUIDITY': 10256437627725.5, 'TOTAL_REMOVED_LIQUIDITY': 8238106838595.46, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 1.244999346, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1705361293, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1705360745, 'LAST_SWAP_TIMESTAMP_ts': 1707108041, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 15.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 15.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 4.0, 'LAST_SWAP_TIMESTAMP_day': 5.0, 'LAST_SWAP_TIMESTAMP_weekday': 0.0, 'LAST_SWAP_TIMESTAMP_month': 2.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0363837478668986, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
