Index: 30, Data: {'LIQUIDITY_POOL_ADDRESS': '5vEZxEYALWKTVPHqFycc7ofjcaRWevHXH1x7afhCSTrx', 'MINT': '7eqaWjJnVv898RM1yDqmcevvxoYvbKX5FPGix3MuF9K3', 'TOTAL_ADDED_LIQUIDITY': 200600200799.986, 'TOTAL_REMOVED_LIQUIDITY': 8860174572.90702, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 22.640660085, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1710569702, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1710568483, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 16.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 16.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0507842416981528, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 31, Data: {'LIQUIDITY_POOL_ADDRESS': '7sJ6qfKZvSNqSSPJKTVZBww21SQuAr5CDy8TUzNPjG6b', 'MINT': '3UrGrYW8ampNzLbx8LP7HyKig27EapBA4TkFwoKiP5Kp', 'TOTAL_ADDED_LIQUIDITY': 14026333456.1265, 'TOTAL_REMOVED_LIQUIDITY': 161.197109, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 1.0, 'ADD_TO_REMOVE_RATIO': 87013554.6669546, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1728153341, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1721746718, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 14.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 23.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 7.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.050391546847778, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 32, Data: {'LIQUIDITY_POOL_ADDRESS': '9KwAqG4Xb8aJ4JbbREVaBnmdUQ8Aiy9ga3vxpd7Qow4g', 'MINT': 'B6pxK2Edpq4d8HAJ4BEMManoUqxAtMoFhb2Vb8jL1oQn', 'TOTAL_ADDED_LIQUIDITY': 7689073611.93416, 'TOTAL_REMOVED_LIQUIDITY': 917.097171, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 8384142.76597323, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1726941229, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1719832357, 'LAST_SWAP_TIMESTAMP_ts': 1722108286, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 17.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 21.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 9.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 11.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 7.0, 'LAST_SWAP_TIMESTAMP_hour': 19.0, 'LAST_SWAP_TIMESTAMP_day': 27.0, 'LAST_SWAP_TIMESTAMP_weekday': 5.0, 'LAST_SWAP_TIMESTAMP_month': 7.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0496975073444418, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 33, Data: {'LIQUIDITY_POOL_ADDRESS': 'E5yLGHhe8PxughUVLRvFsc9ufcWviGRczW92moTGmzLJ', 'MINT': 'F2wSK4m7jirMsBSJCrgct2iSU3BnGjGzbk7bs1X8QutG', 'TOTAL_ADDED_LIQUIDITY': 1000001655971.15, 'TOTAL_REMOVED_LIQUIDITY': 1000001655971.15, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1706447191, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706445104, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 13.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 12.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0493501259946628, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 34, Data: {'LIQUIDITY_POOL_ADDRESS': '9RgSKTicv6rMnKGSZoyf1PmenEvnzLuobjxgueA79MfU', 'MINT': 'A2Nq2XaChrjwagbe9ZTNVZEQtVr4Y1aZdiC7DtnAHMBq', 'TOTAL_ADDED_LIQUIDITY': 26184149786.5747, 'TOTAL_REMOVED_LIQUIDITY': 52632789849.0847, 'NUM_LIQUIDITY_ADDS': 1.0, 'NUM_LIQUIDITY_REMOVES': 1.0, 'ADD_TO_REMOVE_RATIO': 0.4974874002, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1704433943, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704187705, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 9.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0490247615433232, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 35, Data: {'LIQUIDITY_POOL_ADDRESS': 'AExXpdUa1YvibwuQDV689fYSXeUZgJZw8o4khLNk9m8v', 'MINT': 'AcdEhqS4SsyyWKEKo34zDAA16JEspPT3jC55LJDrK9W9', 'TOTAL_ADDED_LIQUIDITY': 1078116401069070.0, 'TOTAL_REMOVED_LIQUIDITY': 1041398209288670.0, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 10.0, 'ADD_TO_REMOVE_RATIO': 1.035258551, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1709318700, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1709114636, 'LAST_SWAP_TIMESTAMP_ts': 1709266668, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'LAST_SWAP_TIMESTAMP_hour': 4.0, 'LAST_SWAP_TIMESTAMP_day': 1.0, 'LAST_SWAP_TIMESTAMP_weekday': 4.0, 'LAST_SWAP_TIMESTAMP_month': 3.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0490129106527086, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE}  
Index: 36, Data: {'LIQUIDITY_POOL_ADDRESS': 'Arq9T8wB4z6YdHSCenjssjMumMkZwLu8wmSVutjp7KSJ', 'MINT': 'Cyg8r5iPr9S9Y9t7wRjiTUJaqzqDD9smQUWpX9tpStKN', 'TOTAL_ADDED_LIQUIDITY': 22201276818911.1, 'TOTAL_REMOVED_LIQUIDITY': 25688042357275.4, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 0.8642650347, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1707108560, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1707108449, 'LAST_SWAP_TIMESTAMP_ts': 1707111268, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'LAST_SWAP_TIMESTAMP_hour': 5.0, 'LAST_SWAP_TIMESTAMP_day': 5.0, 'LAST_SWAP_TIMESTAMP_weekday': 0.0, 'LAST_SWAP_TIMESTAMP_month': 2.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0488510140022842, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 37, Data: {'LIQUIDITY_POOL_ADDRESS': 'ANiG8Td1Xx4Te5VQTu7riMv5RnNoZjiWABBrzSzPKBKM', 'MINT': '3HoRVw2NyBLoLve19oKLxydwNEEkwX51kLGLskRZPm6Q', 'TOTAL_ADDED_LIQUIDITY': 108635292372596.0, 'TOTAL_REMOVED_LIQUIDITY': 108852958694430.0, 'NUM_LIQUIDITY_ADDS': 8.0, 'NUM_LIQUIDITY_REMOVES': 64.0, 'ADD_TO_REMOVE_RATIO': 0.9980003638, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1708333192, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704637646, 'LAST_SWAP_TIMESTAMP_ts': 1705215966, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 8.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 19.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 14.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 7.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 7.0, 'LAST_SWAP_TIMESTAMP_day': 14.0, 'LAST_SWAP_TIMESTAMP_weekday': 6.0, 'LAST_SWAP_TIMESTAMP_month': 1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0484721971655803, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 38, Data: {'LIQUIDITY_POOL_ADDRESS': '4TP9AbeSnXpNM3SswFDZUFqZtEP7KXg7dfe85C49yJeW', 'MINT': '4zzULBRVTwtf8qVuv7A9vx441c2TBnqWoPUMsvAHqf1e', 'TOTAL_ADDED_LIQUIDITY': 10254783058989.2, 'TOTAL_REMOVED_LIQUIDITY': 52157760234339.5, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 3.0, 'ADD_TO_REMOVE_RATIO': 0.1966108785, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1727557121, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1705031785, 'LAST_SWAP_TIMESTAMP_ts': 1707277112, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 20.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 9.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 12.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 3.0, 'LAST_SWAP_TIMESTAMP_day': 7.0, 'LAST_SWAP_TIMESTAMP_weekday': 2.0, 'LAST_SWAP_TIMESTAMP_month': 2.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0476783331612462, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 39, Data: {'LIQUIDITY_POOL_ADDRESS': 'CL5nQtMJEfAyGJP8fUXBUAurWSeniLcVHsJuKnFTV5PP', 'MINT': 'C7K4Tot6fnnNwhWpqw9H277QPcP56vHAEeXubRHDyCo9', 'TOTAL_ADDED_LIQUIDITY': 1657011650772.36, 'TOTAL_REMOVED_LIQUIDITY': 1749571936448.98, 'NUM_LIQUIDITY_ADDS': 838.0, 'NUM_LIQUIDITY_REMOVES': 13234.0, 'ADD_TO_REMOVE_RATIO': 0.9470954673, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1722485803, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704246049, 'LAST_SWAP_TIMESTAMP_ts': 1730392759, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 8.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 16.0, 'LAST_SWAP_TIMESTAMP_day': 31.0, 'LAST_SWAP_TIMESTAMP_weekday': 3.0, 'LAST_SWAP_TIMESTAMP_month': 10.0, 'INACTIVITY_STATUS_Active': True, 'INACTIVITY_STATUS_Inactive': False, 'anomaly_score_isolation_forest': -0.0475635135985377, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 40, Data: {'LIQUIDITY_POOL_ADDRESS': 'CcdqAggpb2RmQ5kp6Tpqgv4hbCosRuVb2wtjXRXTMw9r', 'MINT': '25obzteFaN5vjoeiJ2XfcTTpFbKbhY5gyEbJwNck3zSM', 'TOTAL_ADDED_LIQUIDITY': 2073732834015.06, 'TOTAL_REMOVED_LIQUIDITY': 1976674260877.7, 'NUM_LIQUIDITY_ADDS': 4.0, 'NUM_LIQUIDITY_REMOVES': 348.0, 'ADD_TO_REMOVE_RATIO': 1.049101956, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1712000056, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1705781519, 'LAST_SWAP_TIMESTAMP_ts': 1705878863, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 20.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 20.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 21.0, 'LAST_SWAP_TIMESTAMP_weekday': 6.0, 'LAST_SWAP_TIMESTAMP_month': 1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.047427663598302, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
