Index: 120, Data: {'LIQUIDITY_POOL_ADDRESS': '7tjvBvTYbjpNAVUk69xLw3iq7f2AycpeGi3GoTqG3mPq', 'MINT': '27tyXWTEr7c8eXqZ1bLJrjSVioA941zqgpig9R6CMmm5', 'TOTAL_ADDED_LIQUIDITY': 1645030301035.78, 'TOTAL_REMOVED_LIQUIDITY': 1645030301035.56, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1720133092, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1719172030, 'LAST_SWAP_TIMESTAMP_ts': 1711339362, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 22.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 7.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 23.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 6.0, 'LAST_SWAP_TIMESTAMP_hour': 4.0, 'LAST_SWAP_TIMESTAMP_day': 25.0, 'LAST_SWAP_TIMESTAMP_weekday': 0.0, 'LAST_SWAP_TIMESTAMP_month': 3.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0265022899936306, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 121, Data: {'LIQUIDITY_POOL_ADDRESS': 'FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC', 'MINT': 'Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB', 'TOTAL_ADDED_LIQUIDITY': 82159497.706424, 'TOTAL_REMOVED_LIQUIDITY': 86950693.768415, 'NUM_LIQUIDITY_ADDS': 106506.0, 'NUM_LIQUIDITY_REMOVES': 154253.0, 'ADD_TO_REMOVE_RATIO': 0.9448975522, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1730419179, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704391584, 'LAST_SWAP_TIMESTAMP_ts': 1730419200, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 31.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 0.0, 'LAST_SWAP_TIMESTAMP_day': 1.0, 'LAST_SWAP_TIMESTAMP_weekday': 4.0, 'LAST_SWAP_TIMESTAMP_month': 11.0, 'INACTIVITY_STATUS_Active': True, 'INACTIVITY_STATUS_Inactive': False, 'anomaly_score_isolation_forest': -0.02637512471377, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': FALSE} 
Index: 122, Data: {'LIQUIDITY_POOL_ADDRESS': 'E6115s3UqsWN7quRvBpidKyBDLT5p99dXVQzVZWDHnta', 'MINT': '6J1TSJLnffXLzDZi11PQxPNkiHwwjSV2em6QsJQU7yja', 'TOTAL_ADDED_LIQUIDITY': 769862699999989.0, 'TOTAL_REMOVED_LIQUIDITY': 751815900434267.0, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 1.02400428, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1711412425, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1711411509, 'LAST_SWAP_TIMESTAMP_ts': 1713560752, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': 21.0, 'LAST_SWAP_TIMESTAMP_day': 19.0, 'LAST_SWAP_TIMESTAMP_weekday': 4.0, 'LAST_SWAP_TIMESTAMP_month': 4.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0262463920856552, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 123, Data: {'LIQUIDITY_POOL_ADDRESS': 'Banu1nWSRdXQuYNPEgvgEFMRwT9QKoKTUwu4P8GciukN', 'MINT': 'GudRCizzJtXi1SYxuuP5EYJp8uxcDXwP9F4H5QDRwLf1', 'TOTAL_ADDED_LIQUIDITY': 3044964942620.04, 'TOTAL_REMOVED_LIQUIDITY': 3656452.162898, 'NUM_LIQUIDITY_ADDS': 19.0, 'NUM_LIQUIDITY_REMOVES': 10.0, 'ADD_TO_REMOVE_RATIO': 832764.878894707, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1728758655, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1717628531, 'LAST_SWAP_TIMESTAMP_ts': 1729861500, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 18.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 12.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 6.0, 'LAST_SWAP_TIMESTAMP_hour': 13.0, 'LAST_SWAP_TIMESTAMP_day': 25.0, 'LAST_SWAP_TIMESTAMP_weekday': 4.0, 'LAST_SWAP_TIMESTAMP_month': 10.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0262176876962572, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 124, Data: {'LIQUIDITY_POOL_ADDRESS': '31vB5LKthALFAHMJRjmNsSLhKLdmosn2gmxzgMKt8sVa', 'MINT': 'EBSKyU6vx9X6WKSfmPxbsU4RJKUt8bm3aYrUs74feg9A', 'TOTAL_ADDED_LIQUIDITY': 1027304063856500.0, 'TOTAL_REMOVED_LIQUIDITY': 3004526297640370.0, 'NUM_LIQUIDITY_ADDS': 128.0, 'NUM_LIQUIDITY_REMOVES': 69.0, 'ADD_TO_REMOVE_RATIO': 0.3419188125, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1724986004, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704148264, 'LAST_SWAP_TIMESTAMP_ts': 1729830060, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 2.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 30.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 8.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 22.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 4.0, 'LAST_SWAP_TIMESTAMP_day': 25.0, 'LAST_SWAP_TIMESTAMP_weekday': 4.0, 'LAST_SWAP_TIMESTAMP_month': 10.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0261310617324059, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 125, Data: {'LIQUIDITY_POOL_ADDRESS': '5pVdrcj2wwgv9jsrDgjGvrMaUYMNkqZcqCE66u85Ln8t', 'MINT': '77s5qjDc6JEVdnVV7drSNFodTzuZdxCQ2tXVucjidr5K', 'TOTAL_ADDED_LIQUIDITY': 164112146367244.0, 'TOTAL_REMOVED_LIQUIDITY': 63836542498694.1, 'NUM_LIQUIDITY_ADDS': 18.0, 'NUM_LIQUIDITY_REMOVES': 4.0, 'ADD_TO_REMOVE_RATIO': 2.570818217, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1709507372, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706403607, 'LAST_SWAP_TIMESTAMP_ts': 1726764420, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 16.0, 'LAST_SWAP_TIMESTAMP_day': 19.0, 'LAST_SWAP_TIMESTAMP_weekday': 3.0, 'LAST_SWAP_TIMESTAMP_month': 9.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0260803755410712, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 126, Data: {'LIQUIDITY_POOL_ADDRESS': '9PJ2GK7ffW5csVGhXJE5Q1jHCfsQD5ounzcCzhv8UEA1', 'MINT': 'Anmi6Z3QhJRDVhiXPhXuAZyivS6AgHXWLCAxtU2VgQbm', 'TOTAL_ADDED_LIQUIDITY': 2425985291199.43, 'TOTAL_REMOVED_LIQUIDITY': 1988615354643.77, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 1.21993692, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1715941908, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1711833279, 'LAST_SWAP_TIMESTAMP_ts': 1709067451, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 10.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 17.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 21.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 30.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': 20.0, 'LAST_SWAP_TIMESTAMP_day': 27.0, 'LAST_SWAP_TIMESTAMP_weekday': 1.0, 'LAST_SWAP_TIMESTAMP_month': 2.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0255254815429037, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 127, Data: {'LIQUIDITY_POOL_ADDRESS': '8d9rjzsNhFd7PSoauhHmoXfLFxkXxJnEJcU8oXErsbte', 'MINT': '25obzteFaN5vjoeiJ2XfcTTpFbKbhY5gyEbJwNck3zSM', 'TOTAL_ADDED_LIQUIDITY': 4275503885272.64, 'TOTAL_REMOVED_LIQUIDITY': 4144287152959.04, 'NUM_LIQUIDITY_ADDS': 6.0, 'NUM_LIQUIDITY_REMOVES': 202.0, 'ADD_TO_REMOVE_RATIO': 1.031662075, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1709156466, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1705780454, 'LAST_SWAP_TIMESTAMP_ts': 1705878863, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 21.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 28.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 2.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 2.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 19.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 20.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 5.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 21.0, 'LAST_SWAP_TIMESTAMP_weekday': 6.0, 'LAST_SWAP_TIMESTAMP_month': 1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.0254292653681353, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 128, Data: {'LIQUIDITY_POOL_ADDRESS': 'AiyJ3nJqihMuSjKmAbDVXhXMonzsMtLJQxgLeZ9by7YA', 'MINT': '5yxNbU8DgYJZNi3mPD9rs4XLh9ckXrhPjJ5VCujUWg5H', 'TOTAL_ADDED_LIQUIDITY': 15260067787014.3, 'TOTAL_REMOVED_LIQUIDITY': 17494503985339.4, 'NUM_LIQUIDITY_ADDS': 4983.0, 'NUM_LIQUIDITY_REMOVES': 8587.0, 'ADD_TO_REMOVE_RATIO': 0.8722778194, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1730390067, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1704068936, 'LAST_SWAP_TIMESTAMP_ts': 1730418295, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 15.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 31.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 1.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 31.0, 'LAST_SWAP_TIMESTAMP_weekday': 3.0, 'LAST_SWAP_TIMESTAMP_month': 10.0, 'INACTIVITY_STATUS_Active': True, 'INACTIVITY_STATUS_Inactive': False, 'anomaly_score_isolation_forest': -0.0253659558954425, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': FALSE} 
Index: 129, Data: {'LIQUIDITY_POOL_ADDRESS': '9bVuxsjsYG1LPDjKSiVT8bCZi6ZaWrctb5bpvYJRbYHY', 'MINT': '8ya5CyvFUV8XjR8Est1USbaEHzc5zAwSM8rtpeWWPJKS', 'TOTAL_ADDED_LIQUIDITY': 4080017618.48569, 'TOTAL_REMOVED_LIQUIDITY': 4080017618.48569, 'NUM_LIQUIDITY_ADDS': 2.0, 'NUM_LIQUIDITY_REMOVES': 2.0, 'ADD_TO_REMOVE_RATIO': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1711846863, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1711843399, 'LAST_SWAP_TIMESTAMP_ts': -9223372037, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 1.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 31.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 0.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 31.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 6.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 3.0, 'LAST_SWAP_TIMESTAMP_hour': -1.0, 'LAST_SWAP_TIMESTAMP_day': -1.0, 'LAST_SWAP_TIMESTAMP_weekday': -1.0, 'LAST_SWAP_TIMESTAMP_month': -1.0, 'INACTIVITY_STATUS_Active': False, 'INACTIVITY_STATUS_Inactive': True, 'anomaly_score_isolation_forest': -0.024962180716767, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': TRUE} 
Index: 130, Data: {'LIQUIDITY_POOL_ADDRESS': '5y2jFFA3A8GNjRnVMg8LfTHbBg7y2vivopiK8LmGRP2B', 'MINT': 'WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk', 'TOTAL_ADDED_LIQUIDITY': 114764472608.062, 'TOTAL_REMOVED_LIQUIDITY': 120220609006.761, 'NUM_LIQUIDITY_ADDS': 66575.0, 'NUM_LIQUIDITY_REMOVES': 64157.0, 'ADD_TO_REMOVE_RATIO': 0.9546156317, 'LAST_POOL_ACTIVITY_TIMESTAMP_ts': 1730418928, 'FIRST_POOL_ACTIVITY_TIMESTAMP_ts': 1706284715, 'LAST_SWAP_TIMESTAMP_ts': 1730419177, 'LAST_POOL_ACTIVITY_TIMESTAMP_hour': 23.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_day': 31.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_weekday': 3.0, 'LAST_POOL_ACTIVITY_TIMESTAMP_month': 10.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_hour': 15.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_day': 26.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_weekday': 4.0, 'FIRST_POOL_ACTIVITY_TIMESTAMP_month': 1.0, 'LAST_SWAP_TIMESTAMP_hour': 23.0, 'LAST_SWAP_TIMESTAMP_day': 31.0, 'LAST_SWAP_TIMESTAMP_weekday': 3.0, 'LAST_SWAP_TIMESTAMP_month': 10.0, 'INACTIVITY_STATUS_Active': True, 'INACTIVITY_STATUS_Inactive': False, 'anomaly_score_isolation_forest': -0.0248663647619863, 'is_outlier_isolation_forest': -1, 'is_outlier_isolation_forest_label': 'anomaly', 'true_label': FALSE} 
